name,image,originalPrice,price,discount,ratingScore,review,location,description,brandName,inStock
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Video Card Computer Desktop Graphics Card HDMI-Compatible Game Video Card,https://static-01.daraz.com.bd/p/2e3bb8bb7ef9763edfdae95edb958349.jpg,13259,8610,-0.35,Not Available,0,China,,No Brand,TRUE
image Card-3 * Game Video Cards-black,https://static-01.daraz.com.bd/p/f730024df0fe411bfcaddc2889f2afb0.jpg,12532,8131,-0.35,Not Available,0,China,"1.With an HDMI, you can connect to a TV to let you enjoy HD pictures.2.With a DVI, a VGA, can be connected to the monitor or the LCD screen can be used.3.Compatible with DDR3  speed video memory.4.Fits for motherboard with PCI-E slot.5.Low  consumption.'",No Brand,TRUE
2X VGA Virtual Display Adapter Male Dummy Plug EDID Headless Ghost Emulator Lock Plate,https://static-01.daraz.com.bd/p/b9a0290b70e4fc6d78c428d04266b0e2.jpg,824,589,-0.29,Not Available,0,China,,No Brand,TRUE
SAPPHIRE Radeo R7 250 4GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/077fee31234f01efa6d882acfffe6d17.jpg,15000,15000,Not Available,Not Available,0,Bangladesh,,No Brand,FALSE
10cm Flexible SLI Bridge GPU Cable VGA Interconnect Connector for NVIDIA for ASUS Graphic Cards 26 Pin Wholesale,https://static-01.daraz.com.bd/p/8b4ff9c528dbfe826b4aec7951c93d37.jpg,2389,2172,-0.09,Not Available,0,China,,No Brand,TRUE
laptop PCI-E1x to 16x graphics extension cable PCIE16X to 1X extension cord mining,https://static-01.daraz.com.bd/p/b4cbff63756c168a2880f3efd94cf031.jpg,1408,704,-0.5,Not Available,0,China,"Color: Green and white', '100% Brand new', 'High quality', 'Easy to use and install', 'Reasonable price', 'Small but durable'",No Brand,TRUE
JDXHLAU 2X Fence Voltage Tester Farm Fencing Electric Solar Energiser,https://static-01.daraz.com.bd/p/fecc7259463785f083ba2304ba2bd0f0.jpg,3391,2006,-0.41,Not Available,0,China,,No Brand,TRUE
JAERBEE GT730 image Card 64Bit GDDR3 GT 730 D3 Game Video Cards GeforceHDMI Dvi VGA Video Card,https://static-01.daraz.com.bd/p/139ea65332a162a468bb1de62f794971.jpg,6782,4013,-0.41,Not Available,0,China,"1.With an HDMI, you can connect to a TV to let you enjoy HD pictures.', '2.With a DVI, a VGA, can be connected to the monitor or the LCD screen can be used.', '3.Compatible with DDR3 high speed video memory.', '4.Fits for motherboard with PCI-E slot.'",No Brand,TRUE
USB 3.0 PCI-E Express 1x to 16x Extender Riser Card Adapter 4PIN Power Cable,https://static-01.daraz.com.bd/p/bce29663a911a89593e75ea3f3f98a38.jpg,1922,961,-0.5,Not Available,0,China,"Color: Black', 'No driver necessary', 'With side clip to fasten other card', 'Using USB3.0 cable as extender cable', 'More safe and stable', '100% brand new and high quality'",No Brand,TRUE
PCI-E1x to 16x graphics extension cable PCIE16X to 1X extension cord mining,https://static-01.daraz.com.bd/p/d3b09698c969ee2d7944c90bd6259c08.jpg,1940,970,-0.5,Not Available,0,China,"Color: Green and white', '100% Brand new', 'High quality', 'Easy to use and install', 'Reasonable price', 'Small but durable'",No Brand,TRUE
USB 3.0 PCI-E Express 1x to16xExtender Riser Board Card Adapter SATA Cable,https://static-01.daraz.com.bd/p/432a11786d06b463d1a1b5c287ea1c0f.jpg,2268,1134,-0.5,Not Available,0,China,"No driver needed', 'With side clip to fasten other card', 'Dedicated for bitcoin mining', 'Board sizeï¼š13cm*4.5cm*1.5cm', 'Brand new and high quality', 'With 3x FP solid capacitors'",No Brand,TRUE
Gold-plated WatchDog PC USB Mining Unattended Operation Crash Automatic Recover,https://static-01.daraz.com.bd/p/eda38b23578a799e99965f652711455f.jpg,1720,860,-0.5,Not Available,0,China,,No Brand,TRUE
PCI-E 16X 8X PCI Express Slot Tester Card with Light Tester,https://static-01.daraz.com.bd/p/f3066b2eeda29215a071a1d38bdec291.jpg,2797,1736,-0.38,Not Available,0,China,,No Brand,TRUE
ELE mining card dedicated dual-power start adapter board multi-power synchronous starter 24PIN power sync line power start-up board,https://static-01.daraz.com.bd/p/d2f86fdd2a85155bffe04d43bcb9fde0.jpg,1284,642,-0.5,Not Available,0,China,"Color: Green', 'Material: PCB', 'Interface: 4pin 24pin', 'Size: 107*51mm', 'Suitable for: all kinds of system', 'SATA Cable Length: 20cm', 'Power Supply Cable Length: 60cm', 'Brand new and high quality'",No Brand,TRUE
Magnetic Aromatherapy Necklace Jewelry Perfume Locket Pendant Essential Oil Diffuser Women Love charm necklace VA-1020,https://static-01.daraz.com.bd/p/f6b1d284da5cfab86dc4c1d6a0a0c1c5.jpg,1503,1014,-0.33,Not Available,0,China,"BrandNameï¼šGingerSnap', 'Genderï¼šWomen', 'MetalsTypeï¼šSTAINLESSSTEEL', 'ModelNumberï¼šVA-1020', 'Functionï¼šMoodTracker', 'ItemTypeï¼šPendants', 'PendantsTypeï¼šslide', 'Shape\\patternï¼šROUND', 'is_customizedï¼šYes', 'Styleï¼šTRENDY', 'FineorFashionï¼šFashion', 'Materialï¼šMetal', 'ChainLengthï¼š50cm(19.6"")StainlessSteel', 'LocketDiameterï¼š30mm', 'PadDiameterï¼š22mm'",No Brand,TRUE
Gold-plated WatchDog PC USB Mining Unattended Operation Crash Automatic Recover,https://static-01.daraz.com.bd/p/debe0573d0eee4c69e959df5f1671605.jpg,1720,860,-0.5,Not Available,0,China,"Color: Orange', '2.0mm Industrial Boards', 'High Quality Solid Capacitor', 'Dual Timer-monitoring', 'Dual Capacitor, Equal Dual-Relay', 'Single flash red LED running indicator'",No Brand,TRUE
GT210 1GB DDR2 64Bit Graphics Card PCIE 2.0 GPU HDMI-Compatible,https://static-01.daraz.com.bd/p/1c326ccf9614bb3a8571e5c65dfcc084.png,5479,2761,-0.5,Not Available,0,China,,No Brand,TRUE
ã€To Globalã€‘---ELE mining card dedicated dual-power start adapter board multi-power synchronous starter 24PIN power sync line power start-up board,https://static-01.daraz.com.bd/p/d2f86fdd2a85155bffe04d43bcb9fde0.jpg,1238,619,-0.5,Not Available,0,China,"Color: Green', 'Material: PCB', 'Interface: 4pin 24pin', 'Size: 107*51mm', 'Suitable for: all kinds of system', 'SATA Cable Length: 20cm', 'Power Supply Cable Length: 60cm', 'Brand new and high quality'",No Brand,TRUE
Usb 3.0 PCIE Extension Cable Riser Ver 009S Express 16X 6 Pin Power Cable,https://static-01.daraz.com.bd/p/e760a1faf001fff983c9798d1d66e680.jpg,1609,1238,-0.23,Not Available,0,China,"1. Safe and stable: The graphics card power supply adopts four FP solid capacitors, which makes the graphics card power supply more stable and safe.', '2. Strong power supply capability: The extension cord with 6P interface (16A power supply capability) strengthens the power supply and completely solves the problem of insufficient power supply capability. The graphics card slot adopts the original imported connector, which makes the graphics card contact better.', '3. Easy to use: The slot is equipped with a fixed buckle, which is convenient for the disassembly and fixation of the graphics card, so that the graphics card will not fall off from the slot.', '4. High conversion rate: using power protection, using integrated inductors and graphics card solid capacitors, the power conversion efficiency can reach 95%.', '5. Reduce the burden: The GPU expansion adapter card has a 6pin interface, which can be easily connected, and the 6pin interface can also reduce the burden on the mainboard.'",No Brand,TRUE
Retractable Aluminum Alloy Graphic Card Bracket With Magnetic Base For Desktop,https://static-01.daraz.com.bd/p/520ca819dd757c756b261c3bea92a835.jpg,1074,826,-0.23,Not Available,0,China,"1. The bottom of the bracket is designed with magnets and silicone sheets, which can be adsorbed on iron materials such as the power supply compartment and the chassis bottom plate to provide a stable and effective support for the graphics card and reduce failure rate.', '2. This graphics card bracket uses a retractable screw design, which can provide a 74-120mm graphics card height support range.', '3. The graphics card holder is made of high-quality aluminum alloy, and the surface is sandblasted and anodized, and the texture is outstanding for a long time.', 'Material: Aluminum Alloy', 'Manufacturing Process: Anodizing and Sandblasting'",No Brand,TRUE
20 Pcs 6 Pin to Dual PCIe 8 Pin (6+2) Image Card PCI Express Power Adapter GPU VGA Y-Splitter Extension Cable Mining,https://static-01.daraz.com.bd/p/c9107e1ad1329edf82f06ab729c04f2d.jpg,3350,2094,-0.37,Not Available,0,China,,No Brand,TRUE
1 PCS Computer Graphics Card Holder ARGB GPU Holder Adjustable Support Stand Silver,https://static-01.daraz.com.bd/p/1509525ecf4d2ba538b6dc7ffc46a330.jpg,2835,1454,-0.49,Not Available,0,China,,No Brand,TRUE
2X Controller Card Motherboard Sata Expansion Card 1 To 5 Port Sata3.0 6Gbps Multiplier Sata Port Riser Card Adapter,https://static-01.daraz.com.bd/p/7ebb0e16d411468387b833860780bd98.jpg,6041,3776,-0.37,Not Available,0,China,,No Brand,TRUE
NAMUNY PELADN New RTX 3070Ti 8G GDDR6X GPU Graphics Cards Computer PC Gaming RTX 3070 Ti Video Card RTX3070 Ti Gaming Video Card,https://static-01.daraz.com.bd/p/019020d50d466cd948ac73570e6e042f.png,164302,108094,-0.34,Not Available,0,China,,No Brand,TRUE
PC Graphics Card for AMD 8GB 256Bit 2048SP GDDR5 1206MHZ/6000MHZ PCI-Express 3.0 16X,https://static-01.daraz.com.bd/p/50404b7848256e95c94f555d1b516527.png,21245,11869,-0.44,Not Available,0,China,,No Brand,TRUE
Yeston New RTX3080-10GD6X BTC Mining Graphics Card 10G/320Bit/GDDR6X 19GHz 1440/1710MHz GA102/8Nm Computer Game Graphics Card,https://static-01.daraz.com.bd/p/23f897cfeb4a55efe945c216e9a5636e.png,161911,114671,-0.29,Not Available,0,China,,No Brand,TRUE
128Bit GDDR3 Discrete Graphics Card HD Game Video Card Desktop Computers Graphics Card,https://static-01.daraz.com.bd/p/82cef28adaaca5a1d160ec00b7c0a541.png,10888,6721,-0.38,Not Available,0,China,,No Brand,TRUE
GT730 Graphics Card 2G Independent Computer Game HDMI-compatible Graphics Card,https://bd-live-21.slatic.net/kf/S55307f8c3d1748c29dd0d01dbffbc1443.jpg,5001,5001,Not Available,Not Available,0,Bangladesh,"1.DDR3 independent 2G video memory capacity is currently the most mainstream video memory, which perfectly supports all DX11 games.', '2.Low power consumption, high performance, only 29W power, 180W power supply can be used without any requirements for the power supply!', '3.In terms of audio output, this GT730 graphics card can output 7.1-channel audio to the AV amplifier through the HDMI-compatible interface. In addition to the traditional AC-3 and AAC, it supports the next-generation Dolby TrueHD and DTS Master Audio source code output.', 'Core bit width: 64bit', 'Graphics slot: PCI Express 2.0'",No Brand,TRUE
JAERBEE Graphics Card GTX1050TI 2GB DDR5 128Bit Video Card Pci-E2.0 Interface DVI-I VGA for Computer Gaming,https://static-01.daraz.com.bd/p/540d636dc3533219d44829d30cf25eeb.jpg,14519,8066,-0.44,Not Available,0,China,"Low noise and work quietly.', 'Lower working temperature and higher efficiency.', 'Providing the better environment for gaming and multimedia.', 'Durable for long time using and so practical.'",No Brand,TRUE
Asus GeForce GT 730 2GB GDDR5 Graphics Card,https://static-01.daraz.com.bd/p/5ddab13706f5fb4b57897debd76a4f90.jpg,9000,8300,-0.08,Not Available,0,Bangladesh,,No Brand,TRUE
GT730 2GB Graphics Card 64Bit GDDR3 GT 730 2G D3 Game Video Cards for NVIDIA GeforceHDMI Dvi VGA Video Card,https://static-01.daraz.com.bd/p/e85d088eda9bae5014ec515ba1f9b37c.jpg,8112,6490,-0.2,Not Available,0,China,"Origin:CN(Origin)', 'Certification:NONE', 'Model Number:/', 'Interface:DVI-I, HDMI, VGA', 'Video memory type:DDR3', 'Core frequency:600MHz (MHz)', '3D API:DirectX 11', 'Video memory capacity:2GB', 'Core bit width:64bit'",No Brand,TRUE
PC AGP PCI-E X16 Dual-Purpose Socket Tester Display image Video Card Checker Tester image Card Diagnostic Tool,https://static-01.daraz.com.bd/p/acda2160969e257d755b5256e6afb6ec.jpg,3665,3665,Not Available,Not Available,0,China,"""1. AGP, PCI-E tester is mainly used to test the open circuit and short circuit of the data bus connecting the computer image card chip CPU and the computer motherd PCI to the ground2. When repairing the computer's image card failures such as non-display, blurry or unstable display, it is not necessary to use a multimeter to measure the PCI bus interface between the image card aurumen finger and the motherd one by one. This image card tester can quickly detect the open circuit and the CPU Short-circuit failure, with 100% accuracy, is a standing tool for repairing image cards.3. When repairing the computer image card, if the display card does not display, the screen is blurred, etc., first check the appearance for obvious burnt marks, whether the PCB is obviously disconnected, and whether the voltage of each group is normal. If it is normal, use a tester to further measure the CPU Whether the data cable connected to the motherd PCI interface is normal.4. Add a 12V  supply to the tester, insert the fault card into the corresponding slot, press the Press switch in the upper right corner, the corresponding indicator on the tester should be all on, if it is not on or flashing, the brightness will change significantly , Or caused by the open circuit or short circuit of the main chip CPU, use the universal meter to further determine the fault point""",No Brand,FALSE
JAERBEE For AMD Radeon R7 350 2G Speed Graphics Card 2GB 128Bit GDDR5 800/850MHz PCI-E 3.0 X16 HD Desktop PC Graphics Card,https://static-01.daraz.com.bd/p/5334e230b3dc2cdecdf9f8b084af86ad.jpg,12693,8242,-0.35,Not Available,0,China,,No Brand,TRUE
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Video Card Computer Desktop Graphics Card,https://static-01.daraz.com.bd/p/6d5b86c6b0a7335adfdb950cfd4b07a8.png,14723,8610,-0.42,Not Available,0,China,,No Brand,TRUE
2X VGA Virtual Display Adapter HDMI DDC EDID Dummy Plug Headless Ghost Display Emulator Lock plate 1920x1080,https://static-01.daraz.com.bd/p/b191f732fa231ffb9f1fa93225bf2b23.jpg,693,495,-0.29,Not Available,0,China,,No Brand,TRUE
USB 2.0/3.0 To VGA Multi-Display Adapter Converter External Video Graphic Card,https://static-01.daraz.com.bd/p/aa40d1fe0c881aa2a2b68486c23f7e7f.jpg,1482,1140,-0.23,Not Available,0,China,"1. Good practicality: product support PC,Laptop USB 2.0/3.0 input,And convert to VGA signal video output.2. Good compatibility: Support USB 3.0 and below,operating system as Windows 7 (32/64 bit) Windows 8 8.1,W103. High-definition picture quality: VGA output resolution support 800*600 1280*720 1360*768 1600*1200 1920*10804. Supports extend,duplicate,primary and secondary screen switching and rotating four kinds of display modes5. Easy operation: Product support plug and play,no driver installation or external power required.', 'Color: blackCable Length: 18cmMPN: Does Not ApplyRAM: 512MB memory or higherConnector A: USB 3.0Connector(s) B: VGA FemaleSupports: Windows 7,8,8.1,10'",No Brand,TRUE
DVI-D to VGA Port Converter,https://static-01.daraz.com.bd/p/9267dab1fcbd16b406db8b8598c7e4c4.jpg,800,800,Not Available,Not Available,0,Bangladesh,,No Brand,TRUE
ASUS TUF Gaming GeForce GTX 1660 SUPER 6GB GDDR6 Graphics Card,https://static-01.daraz.com.bd/p/b8ba4a06aa1f12d682916dc89ae1809e.jpg,42000,39990,-0.05,Not Available,0,Bangladesh,"The GeForce GTX 1660 SUPER is up to 20% faster than the original GTX 1660 and up to 1.5X faster than the previous-generation GTX 1060 6GB. Powered by the award-winning NVIDIA Turing&trade; architecture and ultra-fast GDDR6 memory, it&rsquo;s a supercharger for today&rsquo;s most popular games. Time to gear up and get SUPER.', 'Ultra-fast GDDR6with over 50% more memory bandwidth for high-speed gaming.\u202f', 'GeForce Experience:Capture and share videos, screenshots, and livestreams with friends. Keep your drivers up-to-date and optimize game settings. GeForce Experience lets you do it all, making it the essential companion to your GeForce graphics card.\u202f', 'Space-grade lubricantbrings the durability of dual ball bearings to quieter sleeve bearing designs.', 'DirectCUIIcopperheatpipesmake direct contact with the die for better cooling.', 'IP5X dust resistanceoffers protection from particle ingress for better durability.', 'Auto-Extreme Technologyuses automation to enhance reliability.', 'Aprotective backplatesecures components during transportation and installation.', 'ACompact designmaximizes compatibility.', 'TUF compatibility testingensures TUF Gaming and TUF Alliance products work together flawlessly.', 'A144-hour validation programputs cards through a series of stringent tests to ensure compatibility with the latest games.', '3 Years Replacement Warranty (*terms and conditions apply)'",ASUS,FALSE
Foccallure,https://static-01.daraz.com.bd/p/495b4530e415aeb17691eafde1623e93.jpg,190,110,-0.42,Not Available,0,Bangladesh,Foccallure Tone Up Sleeping maks-3.8gSleeping maksNo side effect100 %originalMade in China',No Brand,TRUE
Revoflex Xtreme Full Body Workout,https://static-01.daraz.com.bd/p/963bf3d63355936547ab6217b3b45e00.jpg,889,810,-0.09,Not Available,0,Bangladesh,,No Brand,TRUE
Gigabyte GeForce GV-N3060EAGLE-12GD Graphics Card,https://static-01.daraz.com.bd/p/e3ee8a4164d4dd89c33af32a9e2269d8.jpg,51000,50300,-0.01,Not Available,0,Bangladesh,"Gigabyte GeForce GV-N3060EAGLE-12GD Graphics CardResolution: 7680x4320', 'Memory Interface: PCI-E 4.0 x 16', 'Power Consumption: 170W', 'Recommended PSU: 550W'",Gigabite,TRUE
Cimiva Usb 3.0 PCIE Extension Cable Riser Ver 009S Express 16X 6 Pin Power Cable-red,https://static-01.daraz.com.bd/p/5f7fd304eb9b69a16d7014d5ceba9af8.jpg,1295,996,-0.23,Not Available,0,China,"1. Safe and stable: The graphics card power supply adopts four FP solid capacitors, which makes the graphics card power supply more stable and safe.', '2. Strong power supply capability: The extension cord with 6P interface (16A power supply capability) strengthens the power supply and completely solves the problem of insufficient power supply capability. The graphics card slot adopts the original imported connector, which makes the graphics card contact better.', '3. Easy to use: The slot is equipped with a fixed buckle, which is convenient for the disassembly and fixation of the graphics card, so that the graphics card will not fall off from the slot.', '4. High conversion rate: using power protection, using integrated inductors and graphics card solid capacitors, the power conversion efficiency can reach 95%.', '5. Reduce the burden: The GPU expansion adapter card has a 6pin interface, which can be easily connected, and the 6pin interface can also reduce the burden on the mainboard.'",Cimiva,TRUE
M.2 Nvme Ssd Adapter M2 To Pcie 3.0 X16 Controller Card M Key Interface Support Pci Express 3.0 X4 2230-2280 Size,https://static-01.daraz.com.bd/p/49d3a82df5fb28bb7bcb75ce04e1fb4c.jpg,1251,658,-0.47,Not Available,0,China,"""Type:Add On Cards,PCI To USB 2.0 Card,PCI To 1394 Card,PCI-E To USB 3.0 Card,PCI-E 4X To 16X Card,PCI-E 1X To 16X Card,PCI-E To M.2 Card,PCI Raid Card,PCI-E Raid Card,Diagnostic Card,PCI-E Graphic Card To Exteranl Card,PCI-E To USB 3.1 Card,MINI PCI-E To PCI-ECard,M.2 SSD To PCI-EModel Number:TXB008Product name: PCIE NVME m.2 SSD To PCIE X16 Expansion CardInput interface: M-Key M.2 NVME ( Don't Support SATA Protocol m.2 NGFF)""",No Brand,TRUE
4K Displayport Dummy Plug DP Virtual Display Adapter EDID Headless Ghost Emulator Graphics Video Card Cheater,https://static-01.daraz.com.bd/p/c8f009c8bda1f5313208f437a4bbfedb.jpg,604,427,-0.29,Not Available,0,China,,No Brand,TRUE
AFOX AF710-2048D3L1 AF710-2048D3L5 NVIDIA Geforce GT710 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/de85aceaccda70c44451dc1f253fab79.jpg,6200,5900,-0.05,Not Available,0,Bangladesh,"NVIDIA GeForce GT710', 'Bus Standard PCI Express 2.0', 'Video Memory DDR3 2048MB', 'Memory Clock 1100 MHz', 'Memory Interface 64 bit', 'DVI Output Yes X 1', 'HDMI Output Yes X 1', 'D-Sub Output Yes X 1'",No Brand,TRUE
GT210 1G GDDR3 128Bit Half Height Card Standalone Graphics,https://static-01.daraz.com.bd/p/c6b11392610faad3df8a26d7a7c99793.jpg,5665,4046,-0.29,Not Available,0,China,,No Brand,TRUE
Mango-RFID/Proximity/Punch Card/Thick Card/ Mota Card 100 pcs box,https://static-01.daraz.com.bd/p/8e1326b803f47e66765de5f9dd8a2a70.jpg,2500,2500,Not Available,Not Available,0,Bangladesh,"Place of Origin: Guangdong, China (Mainland)Brand Name: MANGOModel Number: RFID ISO card/thin cardMaterial: PVCOperational Frequency: 125KHz/13.56MHz/915MHzSize: 85.6x54x0.84mmChip: Available chip can be chooseApplications: Patrol system, Attendance system, Access control System,etc.Printing Option: Printing can be customizedCraft: Printing both side with barcode strip on the backPacking: 200pcs/boxtype: RFID card/thin card'",No Brand,TRUE
VER018 PLUS PCI-E 1X to 16X USB3.0 60cm Graphics Riser Card with 12 Solid Capacitors/LED Light for BTC Mining,https://static-01.daraz.com.bd/p/5fdb51e770d9a80031d1dd3630af6a32.jpg,1318,705,-0.47,Not Available,0,China,,No Brand,TRUE
1 Pcs VER018 PLUS Riser Card PCIE 1X to 16X USB3.0 60cm Graphics Card,https://static-01.daraz.com.bd/p/dfb42c7baae4863b9cd068d06635d012.jpg,1151,822,-0.29,Not Available,0,China,,No Brand,TRUE
LKPCIGCXM 10Pcs/Lot 6-Pin PCI Express to 2 x PCIe 8 (6+2) Pin Motheoard Graphics Video Card PCI-E GPU VGA Splitter Cable,https://static-01.daraz.com.bd/p/9b5c90e6ac3291988ff00402408a0f4c.jpg,2772,1680,-0.39,Not Available,0,China,,No Brand,TRUE
"Arktek Gt730 Graphics Card Akn730D3S4Gl1,  4Gb Ddr3 128 Bit",https://static-01.daraz.com.bd/p/e12041465078684cd04e3eff1bd3b09b.jpg,15000,13500,-0.1,Not Available,0,Bangladesh," NVIDIA GeForce GT730 GPU', 'â€“ HDMI with 1080p output support', 'â€“ Support NVIDIA PureVideo HD Technology', 'â€“ Support NVIDIA PhyX and CUDA Technology', 'â€“ Support NVIDIA Surround Technology', 'â€“ NVIDIA 3D Vision ready', 'â€“ OS Certified for Windows 7, Windows 8,', 'Windows Vista, XP', 'â€“ PCI-E 2.0 support'",No Brand,FALSE
SZMZ 1 Piece GT210 1G Graphics Card with DVI VGA HDMI-Compatible Port Video Card 64Bit DDR3 Gaming Graphics Card Black for PC Gaming,https://static-01.daraz.com.bd/p/2e5b8df2c5bd51f2b14e70b2b7762139.png,2528,2528,Not Available,Not Available,0,China,,No Brand,TRUE
1 PCS GT610 1GB Graphics Computer Desktop Gaming Small Case DDR3 Memory VGA Video Card,https://static-01.daraz.com.bd/p/8e86d07b6a4a216e5ee6c82d85beabf5.png,4988,2934,-0.41,Not Available,0,China,,No Brand,TRUE
FLYEER PCI Express 3 Port Video Capture Card Firewire 1394B & 1394A PCIe 1.1 X1 Card TI XIO2213B Chipset,https://static-01.daraz.com.bd/p/036d8626ffbc0494d9d75725bcf32a43.jpg,5001,2778,-0.44,Not Available,0,China,,No Brand,TRUE
Valu-Top Vt-900U Usb Keyboard With Bangla,https://static-01.daraz.com.bd/p/636a61eedd85367b6d9dbeb5fc537b0c.jpg,17500,17500,Not Available,Not Available,0,Bangladesh,,Value Top,FALSE
PCI-E X8 X16 Double Disk Transfer Card,https://static-01.daraz.com.bd/p/d5c795a77a4b798f21b1241f6793ec5f.png,3928,1964,-0.5,Not Available,0,China,,No Brand,TRUE
PCI-E 1X to 16X 1394 Capture Expansion Card DV Video Capture Expansion Card with 6Pin to 4Pin for Firewire Pcie Card Desktop Computer,https://static-01.daraz.com.bd/p/f22b8c46452329984fb8cbae23e06283.png,1768,1106,-0.37,Not Available,0,China,,No Brand,TRUE
ATI HD6770 1G DDR5 128Bit HDMI+VGA+DVI Independent Graphics Card,https://static-01.daraz.com.bd/p/19f9fde9060ce41b0e2c6c6100325506.jpg,8161,5829,-0.29,Not Available,0,China,,No Brand,TRUE
LKPCIGCXM GT610 Graphics Card 2GB GDDR3 64Bit 40Nm 810Mhz 1600Mhz PCIE 2.0 HDMI-Compatible+VGA Video Card,https://static-01.daraz.com.bd/p/8cca440eea1d0a5d8c8aa92a243d5a14.jpg,8562,5318,-0.38,Not Available,0,China,,No Brand,TRUE
Graphics Card GTX550Ti 6GB GPU GDDR5 192Bit Video Card HDMI-Compatible Game Video Card,https://static-01.daraz.com.bd/p/6d5b86c6b0a7335adfdb950cfd4b07a8.png,13776,8610,-0.38,Not Available,0,China,,No Brand,TRUE
GTX550TI High-Speed Graphics Card 2GB DDR5 128BIT 700/850MHZ,https://static-01.daraz.com.bd/p/57710e40075a5ec632062d2d04b0fe3e.jpg,8346,5961,-0.29,Not Available,0,China,,No Brand,TRUE
12PCS VER018 PRO USB3.0 PCI-E Riser Card PCIE Graphics Card,https://static-01.daraz.com.bd/p/428306879682e0796355affcf19126f6.jpg,11024,7874,-0.29,Not Available,0,China,,No Brand,TRUE
Mini PCIe to PCI Express 16X Riser for Laptop External image Card,https://static-01.daraz.com.bd/p/8e6a3833e669e08e83aa280f37d0f306.jpg,1104,736,-0.33,Not Available,0,China,,No Brand,TRUE
3090Ti & 40 Series Graphics Card Extension Cable 12+4P to Pci-E8Px3,https://static-01.daraz.com.bd/p/047b855aed862dd66a4c4ac98753c190.jpg,2775,1550,-0.44,Not Available,0,China,,No Brand,TRUE
High Solution to Low Solution Board Game Video Conversion Card,https://static-01.daraz.com.bd/p/ff2e38f9c89de27f7895628d84442bb3.jpg,4801,2623,-0.45,Not Available,0,China,,No Brand,TRUE
HD-WF2 Asynchronous 768Wx64H Pixels 2XHUB75 RGB Small LED Display,https://static-01.daraz.com.bd/p/6f1503fe63ed1aeffee1ff1bafd73bdb.png,1614,1076,-0.33,Not Available,0,China,,No Brand,TRUE
M.2 PCI E To USB3.0 TYPE-C+19/20P Interface Expansion Card,https://static-01.daraz.com.bd/p/5b478e9cc1a0b8b23ff0067a275bb8bb.png,2510,1512,-0.4,Not Available,0,China,,No Brand,TRUE
Extension PCIE 3.0 16X to 16X Reverse Graphics Card Adapter Cable,https://static-01.daraz.com.bd/p/9fa6517d3c34eb969ee35a0848097575.jpg,3579,2386,-0.33,Not Available,0,China,,No Brand,TRUE
Mango-RFID/Proximity/Punch Card/pat Card/ mota Card 100 pcs box,https://static-01.daraz.com.bd/p/70cfa540469eceb369aa7faa9dd8349a.jpg,3000,2800,-0.07,Not Available,0,Bangladesh,,No Brand,TRUE
88MM Graphics Video Card Fan Cooler for Gigabyte GeForce GTX 1050,https://static-01.daraz.com.bd/p/8d6c8d8d6a6fe1e390fb6c8adaf87b69.jpg,1431,954,-0.33,Not Available,0,China,,No Brand,TRUE
PCI Express 3 Port Video Capture Card TI XIO2213B Chipset,https://static-01.daraz.com.bd/p/6b0d4c92326ddc9bca8b8d894bb9b69f.jpg,5294,2831,-0.47,Not Available,0,China,,No Brand,TRUE
PCIE 3.0 X16 Graphics Card 180 Degree Reverse Graphics Adapter Cable,https://static-01.daraz.com.bd/p/45d100895da1e2c7520a2f11a704897b.jpg,2469,1533,-0.38,Not Available,0,China,,No Brand,TRUE
Cooling Fan for Palit GTX 1070 GTX 1070 TI 8G Dual GTX Graphics Card,https://static-01.daraz.com.bd/p/49fd3d7633b3fe1e2735747043ad8665.jpg,2389,1238,-0.48,Not Available,0,China,,No Brand,TRUE
Adapter Card Desktop Expansion Idle SSD Read Write Board PCIE Expansion Card SSD Hard Disk Adapter Card,https://static-01.daraz.com.bd/p/458d833d584d2640ba6abb83d447d857.png,2917,1527,-0.48,Not Available,0,China,,No Brand,TRUE
Gigabyte GT 710 2GB DDR3 Graphics Card,https://static-01.daraz.com.bd/p/b6bcf27cc8ac0799dc27e894c5ba8a54.jpg,7500,6900,-0.08,Not Available,0,Bangladesh,,No Brand,TRUE
FLYEER GTX550TI Computer Graphics Card 2GB DDR5 128Bit HDMI-Compatible VGA DVI Interface Video Card for Gaming Desktop PC,https://static-01.daraz.com.bd/p/5109e91aa5bb752970d268a92b9c4a80.jpg,13496,7892,-0.42,Not Available,0,China,,No Brand,TRUE
TH3P4G3 TH3P4G3 Mini GPU Dock Graphics Card Thunderbolt-Compatible PD 60W 40Gbps DC / ATX,https://static-01.daraz.com.bd/p/9daa3a0af5331d1d63b58d614add2db3.png,31275,17871,-0.43,Not Available,0,China,,No Brand,TRUE
